קבוצת שיוך 1,(פריטים מרובים),
,,
,,
code,name,city
1,"בוסתן הדרום בע""מ",גן הדרום
2,רמת רחל,(ריק)
36,משק פלש,רשפון
63,אחמד אבו זינה,(ריק)
66,"פורט הדרים בע""מ",(ריק)
67,קיבוץ שפיים,(ריק)
68,"חקלאות נורדיה אגש""ח בע""מ ",נורדיה
69,אורי שיווק תוצרת חקלאית בעמ,קיבוץ בארי
70,שקמה גידולי שדה,(ריק)
71,"נני שיווק תוצרת חקלאית בע""מ",גבעתיים
200,מהדרין תנופורט יצוא,בארות יצחק
201,אחים אבו זינה,(ריק)
202,ביכורי שדה דרום שווק,תימורים
203,ביכורי השדה - צפון,עפריה
208,שווק פרי וירק קריית גת,קריית גת
210,ביבי אליהו,פתח תקווה
211,יבולי ישראל,צריפין
212,נווה ירק,צריפין
214,באנה גיאהד מוחמד חליל,שכם
215,כרמלי רחובות,רחובות
216,בננות הגליל,חיפה
217,פרי וירק - טמרה,טמרה
219,"שיווק המאה בע""מ",תל מונד
220,"אבישי שווק חקלאי בע""מ",צריפין
221,"מחופית בע""מ",חיפה
222,"לוי צדיק ובניו  בע""מ",ירושלים
223,"האחים זאדה מאיר בע""מ",צריפין
226,ויצמן יצחק,רחובות
227,עוטמן חלד עזה,עזה
228,"יבולי שלמה בע""מ",צריפין
229,"אמצע השוק בע""מ",צריפין
230,"אחים פשה בע""מ",ירושלים
231,"אביב יבולים בע""מ",חיפה
232,בכר יעקב  ,רחובות
233,"ירק הגליל בע""מ",חיפה
235,"י.אסלן שווק בע""מ",חיפה
236,תנובת הערבה,ראשון לציון
238,ריבחי-עמאר אוואיב חברון,חברון
239,"יבולי הארץ ש.פ בע""מ",גדרה
241,"תוצרת חקלאית מובחרת בע""מ",חולון
244,אריות שיווק פירות וירקות,צריפין
247,ג'אבר שנטי,עזה
248,פרץ אשר,קריית גת
250,"אגרוטרה (2011) בע""מ",אבן יהודה
252,"מגדלי הערבה בע""מ",מודיעין
253,י.פסטרנק,צריפין
254,ריטייל אימפורט אל.אל.סי,Krasnodar
256,"סעידי שיווק ושינוע בע""מ",גן הדרום
257,"בסט גרוו בע""מ",מושב נהורה
258,תפוח בדבש,רעננה
259,"ביפרש בע""מ",רמת גן
260,"ישרא פלורקס טריידימג בע""מ",גבעתיים
262,"צורי ויצחק פירות וירקות בע""מ",פתח תקווה
263,"KSC אינטרנשיונל בע""מ",חיפה
264,האני עבד אלחרים אלבראוי,עזה
269,אראל תוצרת חקלאית,חיפה
270,חגי וליאור דיין,(ריק)
275,"משי פרי בע""מ",רחובות
277,דויד בכש,גן הדרום
278,"חג'אזי פירות וירקות בע""מ",טמרה
279,כמאל עבאס שקדם,ת.ד 3574
280,"דובדבן שיווק בע""מ",מושב חצב
281,קסנטיני,רחובות
282,מוחמד אבו נעסה,ג'נין
283,סוליקו צאצאשווילי,(ריק)
284,קטיף ארצנו,ירושלים
285,חסן סולימאן דרוויש,עזה
286,רמי לוי שיווק השקמה,מודיעין מכבים-רעות
287,"דודו עזרא בע""מ",קיבוץ רמת יוחנן
288,"האחים שבע בע""מ",(ריק)
289,"יוסף סיגלוביץ בע""מ",כפר ברוך
290,סאסי איתן,(ריק)
291,"ביכורי חקלאות ירוקה בע""מ",תימורים
293,"שדה מדבר בע""מ",כפר קיש
294,פירות א.ב.,הרצלייה
295,מאור אברג'יל,אימונים
296,"א.מ סיטונאות אמון בע""מ",חיפה
297,"טב פרי קטיף בע""מ",מושב חצב
298,"מור אינטרנשיונל בע""מ",גליל ים
299,בכור חדד דלינדה,ראשון לציון
300,יצחק מגור,אשדוד
301,דניאל שיווק פירות העונה,באר שבע
302,עבדאל-רחמן חמיס אבו זר,עזה
303,ביכורי שדה דרום - מחסן 20,תימורים
304,עמר צאבר חמודה,עזה
305,סופר זול בן גוריון,צריפין
307,"ג.ג.ק שיווק תוצרת חקלאית בע""מ",פתח תקווה
308,חסין חמאד נונו,(ריק)
309,נ.א. שיווק תוצרת חקלאית,"ש""ס צריפין"
310,פימנטה אל.אל.סי,"Moscow, Russia"
311,מוסא אדריס,שכם
312,פירות נאסר אברהים,כפר טורען
313,אוהד פירות,(ריק)
314,"פרי וירק ד.ד בע""מ",מעגלים
315,"יבולי שמואל בע""מ",שוק סיטונאי צריפין
316,"א.מ.ס.ש ניהול השקעות בע""מ",עומר
317,"גבים שיווק תוצרת חקלאית בע""מ",ערוגות
318,"נובו-פראש בע""מ",Novorossiysk
319,"צלאל מכלוף(תוצרת השדה -ירידי פירות וירקות בע""מ)",חצב
320,"ח.ע בסד שיווק פירות וירקות בע""מ",אשקלון
321,"ליים בע""מ","Novorossiysk,Russia"
322,עלי בננות,חיפה
323,אר.וי.אי  -  ג'י.אס.סי,Moscow
324,ויטה סטאר אימפורטר LLC,Saint-Petersburg
325,"י.פ.ן המרכז לפרי וירק בע""מ",טמרה
326,"מחלב הארץ בע""מ",ירושלים
327,אבישי אלגרבלי,שדה משה
328,"י.יאמין-מרכז הפרי והירק בע""מ",רחובות
329,אופנהיימר,צריפין
330,גרבי אברהם,נתניה
331,"ספיד בראשית 2010 בע""מ",קריית חיים
332,"א.א גבאי סיטונאות פירות בע""מ",ירושלים
333,"א.ע. השוק הירוק בע""מ",חיפה
334,"מרלו""ג חקלאי גרנות אגודה שיתופית חקלאית בעמ",(ריק)
335,הולדר שמואל,נתניה
336,"טי אס בי סבר קו בע""מ","SAINT-PETERSBURG, RUSSIA"
338,"ברכת החקלאי בע""מ",אשקלון
339,"שימי ושות סיטונאות בע""מ",(ריק)
340,"יראון עבודות חקלאיות בע""מ",מושב שרשרת
341,מ. יוחננוף,מודיעין
342,"יהודה בני ברק פירות וירקות בע""מ",(ריק)
343,גויינט סטוק קמפני דיקסי יו ג'י,Moscow
344,הדקל אליה דויד תוצרת חקלאית,צריפין
345,שוק נווה יהושוע,שוק צריפין
346,טרוקו אינק.,343-344 NYC
347,דובדבן הגליל,חיפה
348,פרשלי פתרונות מזון מתקדמים בעמ,להבים
349,ויקטור סעאדה,(ריק)
350,"ויקטורי רשת סופרמרקטבע""מ",(ריק)
351,י.ב. המשווק,גדרה
352,פרי גת תעשייה,(ריק)
353,שיווק האיחוד,(ריק)
354,ויטה לוקס אל.אל.סי,Novorossiysk
355,האחים יעקובי,(ריק)
356,גלורי פרוט אל אל סי,St Petersburg
357,בוסתן יו.אס.אי,"Montclair, NJ"
358,מור פירות השרון,תל מונד
359,מיריים שוהם,(ריק)
511,"דיגיטל לייבלס בע""מ",טירת הכרמל
513,"נפתלי ברוורמן הובלות בע""מ(שקד הובלות )",פתח תקווה
514,ברדה אייל - הובלות חצב,חצב
515,טיראן בזאז,גן הדרום
517,"אורדילן חברה לייבוא ושיווק בע""מ",גן יבנה
522,"עינב הובלות לחקלאות בע""מ",(ריק)
526,ארגון נהגי יבנה גדרות,(ריק)
527,"דרך צלחה שרותי הובלה בע""מ",אשקלון
528,קירור קיסריה,(ריק)
529,"ס.ב. הובלות בע""מ",(ריק)
530,"אשכנזי שרותי חקלאות בע""מ",(ריק)
531,ה.ג.ר המוביל ג'יבלי ראובן הובלות,(ריק)
532,טיבי - שכם,(ריק)
533,"מילניום שרותים ולוגיסטיקה בע""מ",(ריק)
535,"טופ אפל בע""מ",(ריק)
536,VOG APPLE,(ריק)
537,KARSTEN MARKETING,Durbanville
538,התנועה עמק חפר אגודה שיתופית,(ריק)
539,ג'יבלי הובלות,(ריק)
540,הנגב והערבה,(ריק)
541,מובילי קיריית שמונה,(ריק)
542,ניר סבן,(ריק)
543,מהדרין - ביא אבוקדו העמק,(ריק)
544,אגרו-איפורט אל אל סי,Novorossiysk
545,"שליס אספקת ארוחות בע""מ",ברקן
546,מהדרין - ביא ספריה,(ריק)
547,הובלות באר יעקוב,(ריק)
548,"שדות הנגב אגש""ח בע""מ",(ריק)
549,אבו סוביה סובחי,(ריק)
550,בונדר הובלות,(ריק)
598,הובלה עצמאית,(ריק)
599,הובלות כללי,(ריק)
700,מהדרין אריזות,(ריק)
1004,מגדל ייבוא,(ריק)
9998,תרומה - ללא תמורה,(ריק)
9999,לקוחות שונים,(ריק)
999999,כללי,(ריק)
958859136,אחים אגא,(ריק)
